"FA番号","都道府県名","CATFlag","ILLflag","CopyService","LoanService","FAXservice","ILLStatus","館名","住所"
"FA003013","28","A","A","N","N","N","A","神戸大学 附属図書館 人文科学図書館","神戸市灘区六甲台町1-1"
"FA003024","28","A","A","N","N","N","N","神戸大学 附属図書館 人間科学図書館","兵庫県神戸市灘区鶴甲3-11"
"FA003035","28","A","A","A","A","C","N","神戸大学 附属図書館 自然科学系図書館","兵庫県神戸市灘区六甲台町1-1"
"FA003046","28","A","A","A","A","N","N","神戸大学 附属図書館 医学分館","神戸市中央区楠町7-5-1"
"FA003057","28","A","A","N","N","N","N","神戸大学 附属図書館 経済経営研究所図書館","兵庫県神戸市灘区六甲台町2-1"
"FA003068","28","A","A","A","A","N","N","神戸大学 附属図書館 海事科学分館","神戸市東灘区深江南町5-1-1"
"FA003079","29","A","A","N","N","A","N","奈良教育大学 図書館","奈良県奈良市高畑町"
"FA003090","29","A","A","A","A","N","A","奈良女子大学 学術情報センター","奈良県奈良市北魚屋西町"
"FA003104","30","A","A","A","A","N","A","和歌山大学 附属図書館","和歌山市栄谷930"
"FA003126","31","A","A","A","A","A","A","鳥取大学 附属図書館","鳥取市湖山町南4-101"
"FA003137","31","A","A","A","A","A","A","鳥取大学 附属図書館 医学図書館","鳥取県米子市西町86"
"FA003148","32","A","A","A","A","N","A","島根大学 附属図書館","島根県松江市西川津町1060"
"FA003159","32","A","A","A","A","N","A","島根大学 附属図書館 医学図書館","島根県出雲市塩冶町89-1"
"FA003170","33","A","A","N","N","N","N","岡山大学 附属図書館","岡山県岡山市北区津島中3-1-1"
"FA003181","33","A","A","A","A","N","N","岡山大学 附属図書館 鹿田分館","岡山市北区鹿田町2-5-1"
"FA003192","33","A","A","A","A","N","N","岡山大学 附属図書館 資源植物科学研究所分館","岡山県倉敷市中央2-20-1"
"FA003239","34","A","A","A","A","N","A","広島大学 図書館 霞図書館","広島県広島市南区霞1-2-3"
"FA003261","34","A","A","N","N","N","N","広島大学 図書館 東図書館","東広島市鏡山1-4-5"
"FA003283","35","A","A","A","A","C","A","山口大学 図書館 総合図書館","山口市吉田1677-1"
"FA003294","35","A","A","N","N","N","N","山口大学 図書館 医学部図書館","宇部市南小串1丁目1番1号"
"FA003308","35","A","A","N","N","N","N","山口大学 図書館 工学部図書館","山口県宇部市常盤台2丁目16番1号"
"FA003319","36","A","A","A","A","N","A","徳島大学 附属図書館","徳島県徳島市南常三島町2-1"
"FA003330","36","A","A","A","A","N","A","徳島大学 附属図書館 蔵本分館","徳島市蔵本町3-18-15"
"FA003341","36","A","A","A","A","N","A","鳴門教育大学 附属図書館","鳴門市鳴門町高島字中島748番地"
"FA003352","37","A","A","A","A","A","A","香川大学 図書館","香川県高松市幸町1-1"
"FA003363","37","A","A","A","A","A","N","香川大学 図書館 医学部分館","香川県木田郡三木町大字池戸1750-1"
"FA003374","38","A","A","A","A","A","A","愛媛大学 図書館","愛媛県松山市文京町3"
"FA003385","38","A","A","A","A","A","N","愛媛大学 図書館 医学部分館","愛媛県東温市志津川"
"FA003396","38","A","A","A","A","A","N","愛媛大学 図書館 農学部分館","愛媛県松山市樽味3-5-7"
"FA003410","39","A","A","A","A","N","N","高知大学 学術情報基盤図書館 中央館","高知市曙町2-5-1"
